SQ_CANDIDATO,ANO_ELEICAO,SG_UF,DS_CARGO,NR_CANDIDATO,NM_URNA_CANDIDATO,SG_PARTIDO,DT_NASCIMENTO,NR_IDADE_DATA_POSSE,DS_GENERO,DS_GRAU_INSTRUCAO,DS_ESTADO_CIVIL,DS_COR_RACA,DS_OCUPACAO,DS_SIT_TOT_TURNO,QT_VOTOS,VR_RECEITA,VR_BEM_CANDIDATO,VR_DESPESA_MAX_CAMPANHA
150000910350,2020,PB,PREFEITO,45,JOÃO FRANCISCO,PSDB,25/06/1961,59,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,ADMINISTRADOR,NÃO ELEITO,6040.0,40273.35,11425456.22,153279.01
150000643101,2020,PB,PREFEITO,70,NERIVAL INÁCIO,AVANTE,24/10/1973,47,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),BRANCA,ADMINISTRADOR,ELEITO,1948.0,33245.9,39000.0,123077.42
150001101209,2020,PB,PREFEITO,22,GENIVAL QUEIROZ,PL,20/08/1962,58,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),BRANCA,OUTROS,ELEITO,1337.0,40000.0,1077766.24,123077.42
150001185455,2020,PB,PREFEITO,11,MAGNA GERBASI,PP,01/09/1966,54,FEMININO,SUPERIOR COMPLETO,CASADO(A),BRANCA,SERVIDOR PÚBLICO FEDERAL,ELEITO,6278.0,94500.0,817594.6,123077.42
150001003320,2020,PB,PREFEITO,90,COCA,PROS,16/07/1961,59,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,EMPRESÁRIO,NÃO ELEITO,2509.0,81996.4,219207.06999999998,123077.42
150000827978,2020,PB,PREFEITO,10,FELIPE COUTINHO,REPUBLICANOS,18/07/1989,31,MASCULINO,SUPERIOR INCOMPLETO,CASADO(A),PARDA,EMPRESÁRIO,ELEITO,5811.0,75695.12,469000.0,123077.42
150000722863,2020,PB,PREFEITO,10,INALDO ANDRADE,REPUBLICANOS,06/04/1982,38,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,CASADO(A),PARDA,VEREADOR,NÃO ELEITO,2731.0,67623.0,,380184.95
150000721149,2020,PB,PREFEITO,55,IRMÂ PAULA,PSD,12/07/1983,37,FEMININO,ENSINO MÉDIO INCOMPLETO,CASADO(A),BRANCA,DONA DE CASA,NÃO ELEITO,368.0,4100.0,,123077.42
150000949234,2020,PB,PREFEITO,23,CRISTIANE REMÍGIO,CIDADANIA,26/02/1970,50,FEMININO,SUPERIOR COMPLETO,CASADO(A),PARDA,VEREADOR,NÃO ELEITO,4027.0,56871.9,106300.72,123077.42
150000994784,2020,PB,PREFEITO,55,GUILHERME ROCHA,PSD,31/10/1991,29,MASCULINO,SUPERIOR INCOMPLETO,SOLTEIRO(A),BRANCA,EMPRESÁRIO,NÃO ELEITO,40.0,8350.0,299156.05,123077.42
150000672759,2020,PB,PREFEITO,45,DR PAULO,PSDB,21/03/1947,73,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,MÉDICO,NÃO ELEITO,2215.0,9950.0,1552339.99,123077.42
150000781631,2020,PB,PREFEITO,25,ELISSANDRA BRITO,DEM,18/06/1975,45,FEMININO,SUPERIOR COMPLETO,VIÚVO(A),PARDA,PREFEITO,ELEITO,8106.0,106400.0,408753.85,123077.42
150000638717,2020,PB,PREFEITO,17,HELENO PEREIRA,PSL,14/09/1955,65,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,DIVORCIADO(A),PARDA,EMPRESÁRIO,NÃO ELEITO,65.0,39600.0,1075953.44,123077.42
150000817313,2020,PB,PREFEITO,45,DIDIU,PSDB,16/07/1981,39,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,CONTADOR,ELEITO,4104.0,41380.19,179493.62,123077.42
150001402973,2020,PB,PREFEITO,22,MARCELO JORGE,PL,13/11/1984,37,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PARDA,COMERCIANTE,ELEITO,3908.0,123000.0,270000.0,-1
150001029465,2020,PB,PREFEITO,20,ROBERTA NEPOMUCENO,PSC,31/10/1979,41,FEMININO,SUPERIOR INCOMPLETO,SOLTEIRO(A),BRANCA,OUTROS,NÃO ELEITO,710.0,30000.0,,123077.42
150001008516,2020,PB,PREFEITO,45,DR. MESSIAS SIMÃO,PSDB,08/09/1975,45,MASCULINO,SUPERIOR COMPLETO,DIVORCIADO(A),PARDA,MÉDICO,ELEITO,3659.0,56014.0,1625000.0,123077.42
150000674250,2020,PB,PREFEITO,51,JUIZ RAMONILSON,PATRIOTA,23/11/1974,46,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,PROFESSOR DE ENSINO SUPERIOR,NÃO ELEITO,20280.0,382825.0,1950873.95,653372.9
150000638642,2020,PB,PREFEITO,10,CIRINO,REPUBLICANOS,29/04/1953,67,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,EMPRESÁRIO,ELEITO,1713.0,47623.0,53000.0,123077.42
150001136236,2020,PB,PREFEITO,25,PAULINHO DE KIKO,DEM,13/12/1988,32,MASCULINO,SUPERIOR INCOMPLETO,CASADO(A),PARDA,COMERCIANTE,NÃO ELEITO,1719.0,85265.0,10000.0,188971
150000754226,2020,PB,PREFEITO,90,LUIZINHO DO PEIXE,PROS,13/05/1962,58,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,CASADO(A),BRANCA,PESCADOR,NÃO ELEITO,247.0,20350.0,35000.0,123077.42
150001059526,2020,PB,PREFEITO,12,JÚNIOR DE PRETO,PDT,06/10/1975,45,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,ADMINISTRADOR,NÃO ELEITO,3820.0,90577.65,5356.51,123077.42
150000635612,2020,PB,PREFEITO,51,NETINHO DE ÁGUA BRANCA,PATRIOTA,22/08/1997,23,MASCULINO,SUPERIOR COMPLETO,DIVORCIADO(A),PRETA,OUTROS,NÃO ELEITO,19.0,2510.0,,123077.42
150001036791,2020,PB,PREFEITO,12,ELIÚ PESSOA,PDT,18/04/1986,34,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,ADVOGADO,NÃO ELEITO,370.0,23940.0,100000.0,203111.32
150001065206,2020,PB,PREFEITO,25,TOTA GUEDES,DEM,05/03/1965,55,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),BRANCA,SERVIDOR PÚBLICO ESTADUAL,ELEITO,2581.0,79665.0,10000.0,123077.42
150000650130,2020,PB,PREFEITO,70,PAULA MARANHÃO,AVANTE,21/04/1976,44,FEMININO,ENSINO MÉDIO INCOMPLETO,SOLTEIRO(A),PARDA,SERVIDOR PÚBLICO ESTADUAL,NÃO ELEITO,1239.0,43137.520000000004,,123077.42
150001045550,2020,PB,PREFEITO,13, SEU BETO DO QUEIJO,PT,24/01/1955,65,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,CASADO(A),BRANCA,OUTROS,NÃO ELEITO,24.0,6900.0,80000.0,123077.42
150000784424,2020,PB,PREFEITO,90,KARLA PIMENTEL,PROS,07/05/1974,46,FEMININO,SUPERIOR COMPLETO,CASADO(A),PARDA,ADVOGADO,ELEITO,6794.0,132164.0,76500.0,238580.64
150000725670,2020,PB,PREFEITO,23,FRANCINILDO PIMENTEL,CIDADANIA,06/10/1979,41,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,AGRICULTOR,ELEITO,8286.0,85550.0,1393334.93,123077.42
150000763765,2020,PB,PREFEITO,11,SOBRINHO,PP,23/11/1947,73,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,PREFEITO,ELEITO,7000.0,71392.0,1361000.0,123077.42
150000758205,2020,PB,PREFEITO,22,EVANDRO MAIA,PL,04/08/1980,40,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,CASADO(A),BRANCA,MOTORISTA DE VEÍCULOS DE TRANSPORTE COLETIVO DE PASSAGEIROS,ELEITO,3425.0,70000.0,15000.0,123077.42
150001103574,2020,PB,PREFEITO,45,FLAVIO TORREAO,PSDB,05/07/1989,31,MASCULINO,SUPERIOR INCOMPLETO,SOLTEIRO(A),BRANCA,EMPRESÁRIO,NÃO ELEITO,3248.0,44463.0,80000.0,123077.42
150000861141,2020,PB,PREFEITO,70,NEGUINHA,AVANTE,23/03/1964,56,FEMININO,SUPERIOR COMPLETO,SOLTEIRO(A),BRANCA,ENFERMEIRO,NÃO ELEITO,1579.0,17180.8,135022.52,123077.42
150001196120,2020,PB,PREFEITO,40,IGOR TERTO,PSB,07/01/1996,24,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),PARDA,FARMACÊUTICO,NÃO ELEITO,2294.0,72661.5,29000.0,123077.42
150000760485,2020,PB,PREFEITO,25,SILVANO DUDU,DEM,12/03/1968,52,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,PREFEITO,ELEITO,1761.0,52500.0,58005.38,123077.42
150000644478,2020,PB,PREFEITO,15,DR EDMILSON,MDB,02/05/1953,67,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),BRANCA,MÉDICO,NÃO ELEITO,4545.0,36914.29,230000.0,123077.42
150001213893,2020,PB,PREFEITO,51,TÉRCIO,PATRIOTA,26/07/1989,31,MASCULINO,SUPERIOR INCOMPLETO,CASADO(A),PARDA,EMPRESÁRIO,NÃO ELEITO,321.0,4500.0,116000.0,123077.42
150000857494,2020,PB,PREFEITO,15,DOUTOR RAMON,MDB,17/03/1957,63,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,MÉDICO,NÃO ELEITO,1870.0,22994.0,560943.95,123077.42
150001063836,2020,PB,PREFEITO,23,CLÁUDIO MADRUGA,CIDADANIA,19/11/1969,51,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,ADVOGADO,NÃO ELEITO,3161.0,20000.0,415535.47,123077.42
150000668274,2020,PB,PREFEITO,33,CATONHE FARIAS,PMN,05/01/1958,62,MASCULINO,ENSINO MÉDIO COMPLETO,SEPARADO(A) JUDICIALMENTE,PARDA,AGENTE ADMINISTRATIVO,NÃO ELEITO,56.0,10700.0,,228768.82
150000930449,2020,PB,PREFEITO,40,MÔNICA,PSB,10/04/1976,44,FEMININO,SUPERIOR COMPLETO,CASADO(A),PARDA,PREFEITO,NÃO ELEITO,2028.0,55000.0,125000.0,123077.42
150000767239,2020,PB,PREFEITO,19,ASSIS RODRIGUES,PODE,25/05/1968,52,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,CASADO(A),PARDA,PREFEITO,ELEITO,1886.0,53750.0,140000.0,123077.42
150000871694,2020,PB,PREFEITO,20,LEONARDO GADELHA,PSC,12/05/1975,45,MASCULINO,SUPERIOR COMPLETO,DIVORCIADO(A),PARDA,ADMINISTRADOR,NÃO ELEITO,9714.0,375500.0,1337384.2,385738.62
150000763822,2020,PB,PREFEITO,23,NELINHO COSTA,CIDADANIA,16/01/1978,42,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PARDA,EMPRESÁRIO,ELEITO,6383.0,69778.29000000001,909053.3,123077.42
150000652371,2020,PB,PREFEITO,23,EUNICE,CIDADANIA,20/07/1946,74,FEMININO,SUPERIOR COMPLETO,CASADO(A),BRANCA,PREFEITO,ELEITO,14991.0,164614.0,187410.23,164909.3
150001214110,2020,PB,PREFEITO,45,LINSINHO,PSDB,19/07/1981,39,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,OUTROS,ELEITO,3047.0,54950.0,230000.0,123077.42
150000635246,2020,PB,PREFEITO,14,JOÃO RIBEIRO,PTB,04/01/1986,34,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,PECUARISTA,NÃO ELEITO,3935.0,83101.2,360000.0,123077.42
150001170128,2020,PB,PREFEITO,25,FELISARDO MOURA,DEM,19/09/1970,50,MASCULINO,SUPERIOR INCOMPLETO,DIVORCIADO(A),PARDA,AGRICULTOR,NÃO ELEITO,1602.0,51000.15,,123077.42
150000764586,2020,PB,PREFEITO,25,DR PAULO,DEM,08/11/1971,49,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,MÉDICO,ELEITO,2787.0,109850.0,853596.86,123077.42
150000914402,2020,PB,PREFEITO,40,DR. GERMANO,PSB,28/05/1951,69,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,MÉDICO,#NULO#,,7717.1,160000.0,123077.42
150001135488,2020,PB,PREFEITO,13,ADRIANO,PT,23/08/1975,45,MASCULINO,SUPERIOR INCOMPLETO,SOLTEIRO(A),PARDA,AGRICULTOR,NÃO ELEITO,365.0,42273.2,20064.99,123077.42
150001242903,2020,PB,PREFEITO,15,DR JOAO,MDB,05/09/1949,71,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,MÉDICO,NÃO ELEITO,4522.0,29095.0,3050000.0,123077.42
150000940128,2020,PB,PREFEITO,23,ELOI,CIDADANIA,03/10/1963,57,MASCULINO,ENSINO MÉDIO COMPLETO,DIVORCIADO(A),PARDA,EMPRESÁRIO,ELEITO,2136.0,57650.0,56850.45,123077.42
150000657689,2020,PB,PREFEITO,20,PASTOR SERGIO LOURENÇO,PSC,01/01/1975,46,MASCULINO,SUPERIOR INCOMPLETO,CASADO(A),PARDA,EMPRESÁRIO,NÃO ELEITO,47.0,18604.0,,238580.64
150000839087,2020,PB,PREFEITO,20,JOSINALDO FERREIRA,PSC,30/03/1979,41,MASCULINO,SUPERIOR INCOMPLETO,SOLTEIRO(A),BRANCA,SERVIDOR PÚBLICO ESTADUAL,NÃO ELEITO,47.0,0.0,100000.0,225948.14
150000944054,2020,PB,PREFEITO,25,PEDRINHO CAETANO,DEM,17/02/1965,55,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,CASADO(A),PARDA,EMPRESÁRIO,ELEITO,3074.0,15914.0,813127.95,123077.42
150000674067,2020,PB,PREFEITO,45,SAMUEL LACERDA,PSDB,11/06/1990,30,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),BRANCA,VEREADOR,ELEITO,6171.0,85998.0,235000.0,123077.42
150000769988,2020,PB,PREFEITO,10,CAMAF,REPUBLICANOS,19/05/1987,33,MASCULINO,SUPERIOR INCOMPLETO,CASADO(A),PARDA,SERVIDOR PÚBLICO MUNICIPAL,NÃO ELEITO,2880.0,51123.0,160000.0,123077.42
150001188993,2020,PB,PREFEITO,90,SOCORRO LIMA,PROS,30/10/1983,37,FEMININO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),BRANCA,TÉCNICO DE ENFERMAGEM E ASSEMELHADOS (EXCETO ENFERMEIRO),NÃO ELEITO,970.0,,,123077.42
150001042510,2020,PB,PREFEITO,22,LIDIANA,PL,08/08/1982,38,FEMININO,SUPERIOR COMPLETO,CASADO(A),PARDA,VEREADOR,NÃO ELEITO,1457.0,78060.0,156000.0,123077.42
150000842793,2020,PB,PREFEITO,11,DR EMERSON PANTA,PP,21/09/1973,47,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,MÉDICO,ELEITO,32738.0,176233.0,1078679.5,364348.5
150001098009,2020,PB,PREFEITO,15,FÁBIO ROLIM,MDB,04/12/1976,44,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),PARDA,PROFESSOR E INSTRUTOR DE FORMAÇÃO PROFISSIONAL,ELEITO,2063.0,27000.0,65000.0,123077.42
150000649779,2020,PB,PREFEITO,10,GILBERTINHO,REPUBLICANOS,03/03/1988,32,MASCULINO,SUPERIOR COMPLETO,CASADO(A),AMARELA,ADVOGADO,#NULO#,,25100.0,30000.0,123077.42
150000750043,2020,PB,PREFEITO,40,BRAZ SANTOS,PSB,25/03/1987,33,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,SOLTEIRO(A),PARDA,COMERCIANTE,NÃO ELEITO,983.0,23100.0,,123077.42
150000730972,2020,PB,PREFEITO,12,TARCISIO,PDT,11/10/1958,62,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),BRANCA,ADMINISTRADOR,#NULO#,4871.0,,,123077.42
150000774323,2020,PB,PREFEITO,17,ARTUR BOLINHA,PSL,01/09/1969,51,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,EMPRESÁRIO,NÃO ELEITO,9847.0,1401385.0,6559932.24,3981974.79
150000867465,2020,PB,PREFEITO,45,TOTÓ CANDEIA,PSDB,01/06/1945,75,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,CASADO(A),BRANCA,COMERCIANTE,NÃO ELEITO,811.0,25000.0,50000.0,123077.42
150000763801,2020,PB,PREFEITO,15,MARCOS ERON,MDB,18/01/1974,46,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PRETA,PREFEITO,ELEITO,2437.0,35169.07,209000.0,123077.42
150000735602,2020,PB,PREFEITO,12,JACKSON PEIXOTO,PDT,12/04/1992,28,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),BRANCA,VEREADOR,NÃO ELEITO,3836.0,39340.8,,123077.42
150000912320,2020,PB,PREFEITO,11,DR MARQUINHOS,PP,17/04/1978,42,MASCULINO,SUPERIOR COMPLETO,DIVORCIADO(A),PARDA,ADVOGADO,NÃO ELEITO,713.0,35535.0,500000.0,123077.42
150001014191,2020,PB,PREFEITO,13,GISINALDO LOPES,PT,11/12/1966,54,MASCULINO,SUPERIOR COMPLETO,DIVORCIADO(A),PARDA,ADVOGADO,NÃO ELEITO,83.0,15000.0,31888.27,123077.42
150000913354,2020,PB,PREFEITO,13,NILDO DE OITEIRO,PT,22/05/1982,38,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),BRANCA,OUTROS,NÃO ELEITO,95.0,7850.0,30000.0,123077.42
150001168287,2020,PB,PREFEITO,23,RONALDINHO,CIDADANIA,07/10/1975,45,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,PROFESSOR DE ENSINO SUPERIOR,NÃO ELEITO,1750.0,11690.0,72000.0,123077.42
150001084077,2020,PB,PREFEITO,10,MARQUINHO É 10,REPUBLICANOS,09/01/1977,43,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,EMPRESÁRIO,NÃO ELEITO,3776.0,107950.0,118000.0,123077.42
150000864816,2020,PB,PREFEITO,23,CAIO NETO,CIDADANIA,22/08/1983,37,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),BRANCA,VEREADOR,NÃO ELEITO,3491.0,68019.5,12000.0,123077.42
150000639732,2020,PB,PREFEITO,25,VITOR HUGO,DEM,29/12/1973,47,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,PREFEITO,ELEITO,21397.0,181164.75,584575.78,235920.4
150000724839,2020,PB,PREFEITO,22,MARINEIDE,PL,18/03/1965,55,FEMININO,ENSINO MÉDIO COMPLETO,CASADO(A),BRANCA,PREFEITO,ELEITO,1184.0,129600.0,,123077.42
150000650009,2020,PB,PREFEITO,27,HÉBER ADVOGADO,DC,17/07/1982,38,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,ADVOGADO,NÃO ELEITO,665.0,18100.0,340000.0,653372.9
150001226008,2020,PB,PREFEITO,25,ADRIANO BARBOSA,DEM,23/02/1990,30,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PARDA,EMPRESÁRIO,NÃO ELEITO,1685.0,125507.0,233697.0,123077.42
150000802931,2020,PB,PREFEITO,22,PAULO CÉSAR,PL,26/09/1976,44,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,PROFESSOR DE ENSINO MÉDIO,ELEITO,2729.0,74700.0,103291.76000000001,123077.42
150000795998,2020,PB,PREFEITO,77,MIGUELZINHO,SOLIDARIEDADE,12/12/1972,48,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,ADMINISTRADOR,NÃO ELEITO,1946.0,96344.08,179000.0,123077.42
150000737675,2020,PB,PREFEITO,15,WALTER JUNIOR ,MDB,29/11/1979,41,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,EMPRESÁRIO,NÃO ELEITO,155.0,16960.0,,123077.42
150000765222,2020,PB,PREFEITO,25,HELDER,DEM,24/12/1991,29,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),BRANCA,PREFEITO,ELEITO,2587.0,55256.3,257202.46,123077.42
150001131745,2020,PB,PREFEITO,11,ALYSSON CORRÊA,PP,16/07/1978,42,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),PARDA,ADVOGADO,NÃO ELEITO,3575.0,44934.75,75000.0,123077.42
150000925324,2020,PB,PREFEITO,23,ARIMATEA PORTO,CIDADANIA,09/10/1948,72,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,EMPRESÁRIO,NÃO ELEITO,791.0,51123.0,3043456.09,123077.42
150000769653,2020,PB,PREFEITO,12,ELIAS COSTA,PDT,11/09/1974,46,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,"CORRETOR DE IMÓVEIS, SEGUROS, TÍTULOS E VALORES",ELEITO,5043.0,91815.0,269901.96,123077.42
150000986815,2020,PB,PREFEITO,45,TIAGO LISBOA,PSDB,06/02/1985,35,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),BRANCA,AGRICULTOR,ELEITO,3245.0,38184.8,12000.0,123077.42
150000938030,2020,PB,PREFEITO,10,MARLYSON,REPUBLICANOS,29/06/1977,43,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,ADVOGADO,NÃO ELEITO,2693.0,47623.0,,123077.42
150000860249,2020,PB,PREFEITO,40,EGBERTO MADRUGA,PSB,24/04/1969,51,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,PREFEITO,ELEITO,3560.0,71126.0,505000.0,123077.42
150000937107,2020,PB,PREFEITO,25,ALINY POVÃO,DEM,10/05/1983,37,FEMININO,SUPERIOR INCOMPLETO,CASADO(A),BRANCA,VEREADOR,ELEITO,6319.0,85548.79,200000.0,123077.42
150000857496,2020,PB,PREFEITO,22,TARCISINHO,PL,23/06/1970,50,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,SERVIDOR PÚBLICO FEDERAL,ELEITO,2576.0,35801.2,489000.0,123077.42
150001244224,2020,PB,PREFEITO,51,PREÁ,PATRIOTA,18/09/1971,49,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,CASADO(A),BRANCA,EMPRESÁRIO,NÃO ELEITO,1047.0,7306.95,918688.0,228768.82
150000730086,2020,PB,PREFEITO,55,CACILDA,PSD,25/09/1964,56,FEMININO,SUPERIOR COMPLETO,CASADO(A),BRANCA,PROFESSOR DE ENSINO FUNDAMENTAL,ELEITO,2627.0,63532.0,200000.0,123077.42
150000867543,2020,PB,PREFEITO,55,ZEZINHO DA RAPADURA,PSD,09/01/1966,54,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,CASADO(A),PARDA,EMPRESÁRIO,ELEITO,3244.0,122480.0,243293.03,123077.42
150000815368,2020,PB,PREFEITO,70,LUIS ANACLETO,AVANTE,05/04/1983,37,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,AGRICULTOR,NÃO ELEITO,1325.0,25000.0,15000.0,123077.42
150001032005,2020,PB,PREFEITO,23,CLARICE MELO,CIDADANIA,09/08/1951,69,FEMININO,LÊ E ESCREVE,VIÚVO(A),BRANCA,APOSENTADO (EXCETO SERVIDOR PÚBLICO),NÃO ELEITO,539.0,22096.64,74680.08,123077.42
150001078513,2020,PB,PREFEITO,77,CLECIO SOUSA,SOLIDARIEDADE,18/04/1975,45,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),PARDA,EMPRESÁRIO,NÃO ELEITO,1044.0,46600.0,359543.9,123077.42
150001008518,2020,PB,PREFEITO,55,RIALTOAN ARAÚJO,PSD,03/02/1959,61,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,SERVIDOR PÚBLICO ESTADUAL,NÃO ELEITO,344.0,7950.0,550000.0,123077.42
150001074911,2020,PB,PREFEITO,25,CILINHA ,DEM,03/10/1972,48,FEMININO,SUPERIOR COMPLETO,SOLTEIRO(A),BRANCA,PREFEITO,ELEITO,1853.0,30000.0,,123077.42
150000673051,2020,PB,PREFEITO,22,CHICÃO BERNARDO,PL,10/03/1971,49,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,OUTROS,ELEITO,3168.0,24536.0,40000.0,123077.42
150001042265,2020,PB,PREFEITO,11,ZÉ ALDEMIR,PP,13/01/1946,74,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,MÉDICO,ELEITO,16416.0,324890.6,991625.28,484133.27
150001194469,2020,PB,PREFEITO,22,DOMINGOS NETO,PL,07/06/1981,39,MASCULINO,SUPERIOR INCOMPLETO,CASADO(A),BRANCA,AGENTE ADMINISTRATIVO,NÃO ELEITO,958.0,63063.6,617550.0,123077.42
