SQ_CANDIDATO,ANO_ELEICAO,SG_UF,SG_UE,NOME_MUNICIPIO,DS_CARGO,NR_CANDIDATO,NM_URNA_CANDIDATO,SG_PARTIDO,SG_PAST_PARTIDO,DT_NASCIMENTO,NR_IDADE_DATA_POSSE,DS_GENERO,DS_GRAU_INSTRUCAO,DS_ESTADO_CIVIL,DS_COR_RACA,DS_OCUPACAO,DS_SIT_TOT_TURNO,NM_CANDIDATO
150001185455,2020,PB,21598,RIO TINTO,PREFEITO,11,MAGNA GERBASI,PP,PSB,01/09/1966,54,FEMININO,SUPERIOR COMPLETO,CASADO(A),BRANCA,SERVIDOR PÚBLICO FEDERAL,ELEITO,MAGNA CELI FERNANDES GERBASI
150001003320,2020,PB,21334,PILÕES,PREFEITO,90,COCA,PROS,PSB,16/07/1961,59,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,EMPRESÁRIO,NÃO ELEITO,FELIX ANTONIO MENEZES DA CUNHA
150000827978,2020,PB,21490,PUXINANÃ,PREFEITO,10,FELIPE COUTINHO,REPUBLICANOS,PRB,18/07/1989,31,MASCULINO,SUPERIOR INCOMPLETO,CASADO(A),PARDA,EMPRESÁRIO,ELEITO,FELIPE GURGEL COUTINHO
150000722863,2020,PB,19372,BAYEUX,PREFEITO,10,INALDO ANDRADE,REPUBLICANOS,PTN,06/04/1982,38,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,CASADO(A),PARDA,VEREADOR,NÃO ELEITO,INALDO JOSÉ DA COSTA ANDRADE DOS SANTOS
150000721149,2020,PB,21130,OURO VELHO,PREFEITO,55,IRMÂ PAULA,PSD,PSD,12/07/1983,37,FEMININO,ENSINO MÉDIO INCOMPLETO,CASADO(A),BRANCA,DONA DE CASA,NÃO ELEITO,PAULA REGINA DE FREITAS MOURA
150000949234,2020,PB,21270,PIANCÓ,PREFEITO,23,CRISTIANE REMÍGIO,CIDADANIA,PSD,26/02/1970,50,FEMININO,SUPERIOR COMPLETO,CASADO(A),PARDA,VEREADOR,NÃO ELEITO,CHRISTTIANE VIRGÍNIA PALITOT REMÍGIO CARVALHO ALMEIDA
150000994784,2020,PB,21857,SÃO JOSÉ DA LAGOA TAPADA,PREFEITO,55,GUILHERME ROCHA,PSD,PSD,31/10/1991,29,MASCULINO,SUPERIOR INCOMPLETO,SOLTEIRO(A),BRANCA,EMPRESÁRIO,NÃO ELEITO,GUILHERME MARQUES ROCHA
150000672759,2020,PB,19623,GADO BRAVO,PREFEITO,45,DR PAULO,PSDB,PSDB,21/03/1947,73,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,MÉDICO,NÃO ELEITO,PAULO ALVES MONTEIRO
150000781631,2020,PB,20435,ITAPOROROCA,PREFEITO,25,ELISSANDRA BRITO,DEM,DEM,18/06/1975,45,FEMININO,SUPERIOR COMPLETO,VIÚVO(A),PARDA,PREFEITO,ELEITO,ELISSANDRA MARIA CONCEICAO DE BRITO
150000638717,2020,PB,20710,LIVRAMENTO,PREFEITO,17,HELENO PEREIRA,PSL,PR,14/09/1955,65,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,DIVORCIADO(A),PARDA,EMPRESÁRIO,NÃO ELEITO,HELENO PEREIRA MORATO
150000817313,2020,PB,21377,PIRPIRITUBA,PREFEITO,45,DIDIU,PSDB,PSDB,16/07/1981,39,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,CONTADOR,ELEITO,DENILSON DE FREITAS SILVA
150001402973,2020,PB,19623,GADO BRAVO,PREFEITO,22,MARCELO JORGE,PL,PSDB,13/11/1984,37,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PARDA,COMERCIANTE,ELEITO,MARCELO PAULINO DA SILVA
150001029465,2020,PB,19275,DAMIÃO,PREFEITO,20,ROBERTA NEPOMUCENO,PSC,PSB,31/10/1979,41,FEMININO,SUPERIOR INCOMPLETO,SOLTEIRO(A),BRANCA,OUTROS,NÃO ELEITO,ROBERTA SOUSA DE ANDRADE
150001008516,2020,PB,20818,MANAÍRA,PREFEITO,45,DR. MESSIAS SIMÃO,PSDB,PMN,08/09/1975,45,MASCULINO,SUPERIOR COMPLETO,DIVORCIADO(A),PARDA,MÉDICO,ELEITO,MANOEL VIRGULINO SIMÃO
150000674250,2020,PB,21172,PATOS,PREFEITO,51,JUIZ RAMONILSON,PATRIOTA,PSDB,23/11/1974,46,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,PROFESSOR DE ENSINO SUPERIOR,NÃO ELEITO,RAMONILSON ALVES GOMES
150000638642,2020,PB,20753,MÃE D'ÁGUA,PREFEITO,10,CIRINO,REPUBLICANOS,PMDB,29/04/1953,67,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,EMPRESÁRIO,ELEITO,FRANCISCO CIRINO DA SILVA
150001136236,2020,PB,21555,REMÍGIO,PREFEITO,25,PAULINHO DE KIKO,DEM,PSB,13/12/1988,32,MASCULINO,SUPERIOR INCOMPLETO,CASADO(A),PARDA,COMERCIANTE,NÃO ELEITO,PAULO FELIPE DE ALMEIDA
150000754226,2020,PB,22233,SOLEDADE,PREFEITO,90,LUIZINHO DO PEIXE,PROS,PP,13/05/1962,58,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,CASADO(A),BRANCA,PESCADOR,NÃO ELEITO,LUIZ BATISTA DE OLIVEIRA
150001059526,2020,PB,22314,TAPEROÁ,PREFEITO,12,JÚNIOR DE PRETO,PDT,PMDB,06/10/1975,45,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,ADMINISTRADOR,NÃO ELEITO,FRANCISCO ANTONIO DA SILVA FILHO
150000635612,2020,PB,19011,ÁGUA BRANCA,PREFEITO,51,NETINHO DE ÁGUA BRANCA,PATRIOTA,PMDB,22/08/1997,23,MASCULINO,SUPERIOR COMPLETO,DIVORCIADO(A),PRETA,OUTROS,NÃO ELEITO,JOSÉ HONÓRIO DA SILVA NETO
150001036791,2020,PB,20036,CUITÉ,PREFEITO,12,ELIÚ PESSOA,PDT,PSL,18/04/1986,34,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,ADVOGADO,NÃO ELEITO,ELIÚ JAVÃ SILVA SANTOS FURTADO
150001065206,2020,PB,21237,PEDRA LAVRADA,PREFEITO,25,TOTA GUEDES,DEM,PSD,05/03/1965,55,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),BRANCA,SERVIDOR PÚBLICO ESTADUAL,ELEITO,JOSE ANTONIO VASCONCELOS DA COSTA
150000650130,2020,PB,19550,BORBOREMA,PREFEITO,70,PAULA MARANHÃO,AVANTE,PTB,21/04/1976,44,FEMININO,ENSINO MÉDIO INCOMPLETO,SOLTEIRO(A),PARDA,SERVIDOR PÚBLICO ESTADUAL,NÃO ELEITO,MARIA PAULA GOMES PEREIRA
150001045550,2020,PB,19801,CATURITÉ,PREFEITO,13, SEU BETO DO QUEIJO,PT,PSD,24/01/1955,65,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,CASADO(A),BRANCA,OUTROS,NÃO ELEITO,SEVERINO HILDEBERTO MORAIS DE ANDRADE
150000784424,2020,PB,19933,CONDE,PREFEITO,90,KARLA PIMENTEL,PROS,PSB,07/05/1974,46,FEMININO,SUPERIOR COMPLETO,CASADO(A),PARDA,ADVOGADO,ELEITO,KARLA MARIA MARTINS PIMENTEL RÉGIS
150000725670,2020,PB,19070,ALAGOA NOVA,PREFEITO,23,FRANCINILDO PIMENTEL,CIDADANIA,PSDB,06/10/1979,41,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,AGRICULTOR,ELEITO,FRANCINILDO PIMENTEL DA SILVA
150000763765,2020,PB,19054,ALAGOA GRANDE,PREFEITO,11,SOBRINHO,PP,PSD,23/11/1947,73,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,PREFEITO,ELEITO,ANTÔNIO DA SILVA SOBRINHO
150000758205,2020,PB,19410,BELÉM DO BREJO DO CRUZ,PREFEITO,22,EVANDRO MAIA,PL,PT do B,04/08/1980,40,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,CASADO(A),BRANCA,MOTORISTA DE VEÍCULOS DE TRANSPORTE COLETIVO DE PASSAGEIROS,ELEITO,EVANDRO MAIA PIMENTA
150001103574,2020,PB,22110,SERRA BRANCA,PREFEITO,45,FLAVIO TORREAO,PSDB,PDT,05/07/1989,31,MASCULINO,SUPERIOR INCOMPLETO,SOLTEIRO(A),BRANCA,EMPRESÁRIO,NÃO ELEITO,FLAVIO FERNANDO GAUDENCIO BARBOSA TORREAO
150000861141,2020,PB,20753,MÃE D'ÁGUA,PREFEITO,70,NEGUINHA,AVANTE,PMDB,23/03/1964,56,FEMININO,SUPERIOR COMPLETO,SOLTEIRO(A),BRANCA,ENFERMEIRO,NÃO ELEITO,JOSEFA LOPES PEREIRA
150001196120,2020,PB,19364,CACIMBAS,PREFEITO,40,IGOR TERTO,PSB,PSB,07/01/1996,24,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),PARDA,FARMACÊUTICO,NÃO ELEITO,IGOR TERTO DA SILVA
150000760485,2020,PB,19240,CARAÚBAS,PREFEITO,25,SILVANO DUDU,DEM,PSB,12/03/1968,52,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,PREFEITO,ELEITO,JOSE SILVANO FERNANDES DA SILVA
150000644478,2020,PB,19712,CACIMBA DE DENTRO,PREFEITO,15,DR EDMILSON,MDB,PSB,02/05/1953,67,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),BRANCA,MÉDICO,NÃO ELEITO,EDMILSON GOMES DE SOUZA
150001213893,2020,PB,21598,RIO TINTO,PREFEITO,51,TÉRCIO,PATRIOTA,PSB,26/07/1989,31,MASCULINO,SUPERIOR INCOMPLETO,CASADO(A),PARDA,EMPRESÁRIO,NÃO ELEITO,TÉRCIO FELIPE LOURENÇO PEREIRA
150000857494,2020,PB,20150,DONA INÊS,PREFEITO,15,DOUTOR RAMON,MDB,PSD,17/03/1957,63,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,MÉDICO,NÃO ELEITO,RAMON FERREIRA DE ARAUJO
150001063836,2020,PB,20290,GURINHÉM,PREFEITO,23,CLÁUDIO MADRUGA,CIDADANIA,PMDB,19/11/1969,51,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,ADVOGADO,NÃO ELEITO,CLÁUDIO FREIRE MADRUGA
150000668274,2020,PB,21512,QUEIMADAS,PREFEITO,33,CATONHE FARIAS,PMN,PSB,05/01/1958,62,MASCULINO,ENSINO MÉDIO COMPLETO,SEPARADO(A) JUDICIALMENTE,PARDA,AGENTE ADMINISTRATIVO,NÃO ELEITO,ANTÔNIO LOPES DE FARIAS
150000930449,2020,PB,21350,PILÕEZINHOS,PREFEITO,40,MÔNICA,PSB,PSDB,10/04/1976,44,FEMININO,SUPERIOR COMPLETO,CASADO(A),PARDA,PREFEITO,NÃO ELEITO,MONICA CRISTINA SANTOS DA SILVA
150000767239,2020,PB,19380,CAJAZEIRINHAS,PREFEITO,19,ASSIS RODRIGUES,PODE,PSB,25/05/1968,52,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,CASADO(A),PARDA,PREFEITO,ELEITO,FRANCISCO DE ASSIS RODRIGUES DE LIMA
150000871694,2020,PB,22250,SOUSA,PREFEITO,20,LEONARDO GADELHA,PSC,PSB,12/05/1975,45,MASCULINO,SUPERIOR COMPLETO,DIVORCIADO(A),PARDA,ADMINISTRADOR,NÃO ELEITO,LEONARDO DE MELO GADELHA
150000763822,2020,PB,19712,CACIMBA DE DENTRO,PREFEITO,23,NELINHO COSTA,CIDADANIA,PSB,16/01/1978,42,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PARDA,EMPRESÁRIO,ELEITO,VALDINELE GOMES COSTA
150000652371,2020,PB,20796,MAMANGUAPE,PREFEITO,23,EUNICE,CIDADANIA,PSB,20/07/1946,74,FEMININO,SUPERIOR COMPLETO,CASADO(A),BRANCA,PREFEITO,ELEITO,MARIA EUNICE DO NASCIMENTO PESSOA
150001214110,2020,PB,20990,NATUBA,PREFEITO,45,LINSINHO,PSDB,PMDB,19/07/1981,39,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,OUTROS,ELEITO,JOSE LINS DA SILVA FILHO
150000635246,2020,PB,20478,JACARAÚ,PREFEITO,14,JOÃO RIBEIRO,PTB,PMDB,04/01/1986,34,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,PECUARISTA,NÃO ELEITO,JOÃO RIBEIRO FILHO
150001170128,2020,PB,21458,PRATA,PREFEITO,25,FELISARDO MOURA,DEM,PMDB,19/09/1970,50,MASCULINO,SUPERIOR INCOMPLETO,DIVORCIADO(A),PARDA,AGRICULTOR,NÃO ELEITO,FELISARDO MOURA NUNES
150000764586,2020,PB,20575,JUNCO DO SERIDÓ,PREFEITO,25,DR PAULO,DEM,PSB,08/11/1971,49,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,MÉDICO,ELEITO,PAULO NEIDE MELO FRAGOSO
150000914402,2020,PB,19410,BELÉM DO BREJO DO CRUZ,PREFEITO,40,DR. GERMANO,PSB,PT do B,28/05/1951,69,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,MÉDICO,#NULO#,GERMANO LACERDA DA CUNHA
150001135488,2020,PB,19330,BARRA DE SANTA ROSA,PREFEITO,13,ADRIANO,PT,DEM,23/08/1975,45,MASCULINO,SUPERIOR INCOMPLETO,SOLTEIRO(A),PARDA,AGRICULTOR,NÃO ELEITO,ADRIANO SOUSA LEITE
150001242903,2020,PB,19615,CAAPORÃ,PREFEITO,15,DR JOAO,MDB,PDT,05/09/1949,71,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,MÉDICO,NÃO ELEITO,JOAO BATISTA SOARES
150000940128,2020,PB,19186,SERTÃOZINHO,PREFEITO,23,ELOI,CIDADANIA,PSL,03/10/1963,57,MASCULINO,ENSINO MÉDIO COMPLETO,DIVORCIADO(A),PARDA,EMPRESÁRIO,ELEITO,JOSE DE SOUSA MACHADO
150000657689,2020,PB,19933,CONDE,PREFEITO,20,PASTOR SERGIO LOURENÇO,PSC,PSB,01/01/1975,46,MASCULINO,SUPERIOR INCOMPLETO,CASADO(A),PARDA,EMPRESÁRIO,NÃO ELEITO,SERGIO DA SILVA LOURENÇO
150000839087,2020,PB,22071,SAPÉ,PREFEITO,20,JOSINALDO FERREIRA,PSC,PSB,30/03/1979,41,MASCULINO,SUPERIOR INCOMPLETO,SOLTEIRO(A),BRANCA,SERVIDOR PÚBLICO ESTADUAL,NÃO ELEITO,JOSINALDO FRANCISCO FERREIRA
150000944054,2020,PB,19470,BOM SUCESSO,PREFEITO,25,PEDRINHO CAETANO,DEM,PTB,17/02/1965,55,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,CASADO(A),PARDA,EMPRESÁRIO,ELEITO,PEDRO CAETANO SOBRINHO
150000674067,2020,PB,19895,CONCEIÇÃO,PREFEITO,45,SAMUEL LACERDA,PSDB,PSDB,11/06/1990,30,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),BRANCA,VEREADOR,ELEITO,SAMUEL SOARES LAVOR DE LACERDA
150000769988,2020,PB,20656,LAGOA DE DENTRO,PREFEITO,10,CAMAF,REPUBLICANOS,PSD,19/05/1987,33,MASCULINO,SUPERIOR INCOMPLETO,CASADO(A),PARDA,SERVIDOR PÚBLICO MUNICIPAL,NÃO ELEITO,CAMAF DOUGLAS DA SILVA MOREIRA
150001188993,2020,PB,19941,BOA VISTA,PREFEITO,90,SOCORRO LIMA,PROS,PDT,30/10/1983,37,FEMININO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),BRANCA,TÉCNICO DE ENFERMAGEM E ASSEMELHADOS (EXCETO ENFERMEIRO),NÃO ELEITO,MARIA DO SOCORRO ARAUJO LIMA
150001042510,2020,PB,20770,MALTA,PREFEITO,22,LIDIANA,PL,PMDB,08/08/1982,38,FEMININO,SUPERIOR COMPLETO,CASADO(A),PARDA,VEREADOR,NÃO ELEITO,MARIA LIDIANA GOMES RODRIGUES DANTAS MARQUES
150000842793,2020,PB,21750,SANTA RITA,PREFEITO,11,DR EMERSON PANTA,PP,PSDB,21/09/1973,47,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,MÉDICO,ELEITO,EMERSON FERNANDES ALVINO PANTA
150001098009,2020,PB,19771,CALDAS BRANDÃO,PREFEITO,15,FÁBIO ROLIM,MDB,PMDB,04/12/1976,44,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),PARDA,PROFESSOR E INSTRUTOR DE FORMAÇÃO PROFISSIONAL,ELEITO,FÁBIO ROLIM PEIXOTO
150000649779,2020,PB,20630,LAGOA,PREFEITO,10,GILBERTINHO,REPUBLICANOS,PSB,03/03/1988,32,MASCULINO,SUPERIOR COMPLETO,CASADO(A),AMARELA,ADVOGADO,#NULO#,GILBERTO TOLENTINO LEITE JUNIOR
150000750043,2020,PB,20630,LAGOA,PREFEITO,40,BRAZ SANTOS,PSB,PSB,25/03/1987,33,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,SOLTEIRO(A),PARDA,COMERCIANTE,NÃO ELEITO,BRAZ RAIMUNDO DOS SANTOS
150000730972,2020,PB,20290,GURINHÉM,PREFEITO,12,TARCISIO,PDT,PMDB,11/10/1958,62,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),BRANCA,ADMINISTRADOR,#NULO#,TARCISIO SAULO DE PAIVA
150000774323,2020,PB,19810,CAMPINA GRANDE,PREFEITO,17,ARTUR BOLINHA,PSL,PSDB,01/09/1969,51,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,EMPRESÁRIO,NÃO ELEITO,JOSE ARTUR MELO DE ALMEIDA
150000867465,2020,PB,21539,QUIXABA,PREFEITO,45,TOTÓ CANDEIA,PSDB,PMDB,01/06/1945,75,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,CASADO(A),BRANCA,COMERCIANTE,NÃO ELEITO,LAERTE CANDEIA ANASTACIO
150000763801,2020,PB,20931,MONTE HOREBE,PREFEITO,15,MARCOS ERON,MDB,PMDB,18/01/1974,46,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PRETA,PREFEITO,ELEITO,MARCOS ERON NOGUEIRA
150000735602,2020,PB,19992,CRUZ DO ESPÍRITO SANTO,PREFEITO,12,JACKSON PEIXOTO,PDT,PSD,12/04/1992,28,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),BRANCA,VEREADOR,NÃO ELEITO,JACKSON PEIXOTO DO NASCIMENTO
150000912320,2020,PB,22152,SERRA GRANDE,PREFEITO,11,DR MARQUINHOS,PP,PSDB,17/04/1978,42,MASCULINO,SUPERIOR COMPLETO,DIVORCIADO(A),PARDA,ADVOGADO,NÃO ELEITO,ADIVOMARQUES FERREIRA ALVES
150001014191,2020,PB,19259,AROEIRAS,PREFEITO,13,GISINALDO LOPES,PT,PSDB,11/12/1966,54,MASCULINO,SUPERIOR COMPLETO,DIVORCIADO(A),PARDA,ADVOGADO,NÃO ELEITO,GISINALDO LOPES DA SILVA
150000913354,2020,PB,21598,RIO TINTO,PREFEITO,13,NILDO DE OITEIRO,PT,PSB,22/05/1982,38,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),BRANCA,OUTROS,NÃO ELEITO,JOSENILDO DE LIMA MENDES
150001168287,2020,PB,21377,PIRPIRITUBA,PREFEITO,23,RONALDINHO,CIDADANIA,PSDB,07/10/1975,45,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,PROFESSOR DE ENSINO SUPERIOR,NÃO ELEITO,RONALDO JOSE DA SILVA DE ABREU
150001084077,2020,PB,21393,PITIMBU,PREFEITO,10,MARQUINHO É 10,REPUBLICANOS,PSD,09/01/1977,43,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,EMPRESÁRIO,NÃO ELEITO,MARCO AURELIO CELANI DE ABREU
150000864816,2020,PB,20591,JURIPIRANGA,PREFEITO,23,CAIO NETO,CIDADANIA,PSB,22/08/1983,37,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),BRANCA,VEREADOR,NÃO ELEITO,CAIO CORREIA DE ARAÚJO NETO
150000639732,2020,PB,19658,CABEDELO,PREFEITO,25,VITOR HUGO,DEM,PRP,29/12/1973,47,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,PREFEITO,ELEITO,VITOR HUGO PEIXOTO CASTELLIANO
150000639732,2020,PB,19658,CABEDELO,PREFEITO,25,VITOR HUGO,DEM,PRB,29/12/1973,47,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,PREFEITO,ELEITO,VITOR HUGO PEIXOTO CASTELLIANO
150000724839,2020,PB,19836,CARRAPATEIRA,PREFEITO,22,MARINEIDE,PL,PR,18/03/1965,55,FEMININO,ENSINO MÉDIO COMPLETO,CASADO(A),BRANCA,PREFEITO,ELEITO,MARINEIDIA DA SILVA PEREIRA
150000650009,2020,PB,21172,PATOS,PREFEITO,27,HÉBER ADVOGADO,DC,PSDB,17/07/1982,38,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,ADVOGADO,NÃO ELEITO,HÉBER TIBURTINO LEITE
150001226008,2020,PB,19860,SÃO FRANCISCO,PREFEITO,25,ADRIANO BARBOSA,DEM,PSDB,23/02/1990,30,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PARDA,EMPRESÁRIO,NÃO ELEITO,ADRIANO SARMENTO BARBOSA
150000802931,2020,PB,21652,SANTA CRUZ,PREFEITO,22,PAULO CÉSAR,PL,PSB,26/09/1976,44,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,PROFESSOR DE ENSINO MÉDIO,ELEITO,PAULO CÉSAR FERREIRA BATISTA
150000795998,2020,PB,19437,BOA VENTURA,PREFEITO,77,MIGUELZINHO,SOLIDARIEDADE,PSD,12/12/1972,48,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,ADMINISTRADOR,NÃO ELEITO,MIGUEL ESTANISLAU FILHO
150000737675,2020,PB,22217,SOLÂNEA,PREFEITO,15,WALTER JUNIOR ,MDB,DEM,29/11/1979,41,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,EMPRESÁRIO,NÃO ELEITO,WALTER GALDINO DA SILVA JUNIOR
150000765222,2020,PB,21814,SÃO JOÃO DO CARIRI,PREFEITO,25,HELDER,DEM,DEM,24/12/1991,29,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),BRANCA,PREFEITO,ELEITO,JOSE HELDER TRAJANO DE QUEIROZ
150001131745,2020,PB,19330,BARRA DE SANTA ROSA,PREFEITO,11,ALYSSON CORRÊA,PP,DEM,16/07/1978,42,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),PARDA,ADVOGADO,NÃO ELEITO,ALYSSON WAGNER CORRÊA NUNES
150000925324,2020,PB,19267,SANTO ANDRÉ,PREFEITO,23,ARIMATEA PORTO,CIDADANIA,PDT,09/10/1948,72,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,EMPRESÁRIO,NÃO ELEITO,JOSE DE ARIMATEA PORTO MARTINS
150000769653,2020,PB,20478,JACARAÚ,PREFEITO,12,ELIAS COSTA,PDT,PMDB,11/09/1974,46,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,"CORRETOR DE IMÓVEIS, SEGUROS, TÍTULOS E VALORES",ELEITO,ELIAS COSTA PAULINO LUCAS
